GeneID,LogFC,Pval
Soga1,0.484634451,0.025462671
Akna,0.485901238,0.004656816
Foxn3,0.486210441,0.030094659
Cfh,0.487624309,0.029470665
Clec2d,0.489453702,0.030484127
Mmrn2,0.490606756,0.022656276
Cnksr3,0.491683131,0.012631678
Cyba,0.49257231,0.019807437
Abca1,0.494006881,0.000560488
Aim2,0.499376261,0.012671182
Prkd3,0.50038597,0.012573215
2310010J17Rik,0.501747165,0.001432824
Kat2b,0.50243468,0.031218288
Tgfa,0.502869948,0.030530094
Gm26944,0.504476147,0.037387532
AU021092,0.511315858,0.012488694
Mgst1,0.512027612,0.042431309
Rsph4a,0.51223877,0.038005603
Kcne1l,0.512624681,0.041262983
Plekhg2,0.513087634,0.001313358
Bgn,0.516080613,0.031622389
Amotl2,0.517002286,0.017470071
Cers2,0.518238693,0.041776459
Eltd1,0.520738498,0.008757764
S100a11,0.521984715,0.037919733
Tmcc3,0.521999909,0.036984056
Pax6,0.528737694,0.00882654
Ly6a,0.529297315,0.012743979
Pim1,0.534076521,0.009562309
Ecscr,0.534601066,0.003053749
Sorbs3,0.539123437,0.004529555
Icosl,0.545726682,0.021320468
B3gnt9,0.547487016,0.011902905
Chd7,0.548645662,0.022593768
Tm4sf1,0.54999531,0.047816908
Plekhg1,0.551815189,0.018493889
Rassf8,0.55208915,0.020047539
Prox1,0.556073726,0.02657894
Hipk2,0.562128105,0.026435268
Cd93,0.565981466,0.008723991
Sspn,0.568168531,0.022142073
Wipf1,0.568602162,0.015829689
Mex3a,0.573734385,0.021127249
Lima1,0.576280922,0.001592418
Mxra8,0.577533825,0.04429042
Galnt15,0.583442192,0.027171295
Cobll1,0.586303147,0.011196637
Tgm2,0.588322774,0.013522402
Nod1,0.588387647,0.006811267
Frmd4b,0.588426772,0.015040951
Gm25328,0.589133931,0.039160797
Cd9,0.589388513,0.043466643
Bub1b,0.594623523,0.029276587
Olfml1,0.594733024,0.041371367
Zbtb20,0.595195618,0.031316331
Pls1,0.595438619,0.039068031
Celsr1,0.596703892,0.00677311
Emr1,0.598067505,0.000647934
Ptprb,0.600153945,0.001105194
Fgfr2,0.600192343,0.007517959
Sned1,0.602120401,0.025170657
Pgm5,0.60377501,0.012664828
Efhd1,0.607698107,0.046425684
Padi2,0.608392102,0.046150039
Tmem123,0.615244862,0.004641743
Trim36,0.619352528,0.016519339
Itga1,0.627311502,0.00223648
Inmt,0.627891008,0.034174674
Prkcq,0.628549551,0.033944167
Cdc42ep1,0.62998491,0.048695784
Sox4,0.634514373,0.018936625
Clic4,0.634987339,0.017833428
Fn1,0.637006004,0.006336233
Gm17971,0.640281811,0.019515734
Fzd7,0.646293894,0.008310943
Gng11,0.648710869,0.035222858
Elovl7,0.650283735,0.012909977
Sox10,0.653527647,0.047910112
Gab1,0.65738323,0.030030866
Ifitm3,0.659571864,0.016409314
Slc38a5,0.665584449,0.026207958
Ascl1,0.671598463,0.022728335
Sfrp1,0.672622633,0.001368282
Cd82,0.685432906,0.040228031
Xaf1,0.686594872,0.005964989
Erbb2ip,0.687096218,0.021227008
Carhsp1,0.690225409,0.034803738
Pllp,0.690406641,0.049452737
Igtp,0.694073137,0.014062525
H2-K1,0.6953468,0.002161617
Gsn,0.699571323,0.032064237
Rhog,0.712159976,0.021554393
Vim,0.720568699,0.002806816
Il33,0.722414492,0.04923889
Gbp7,0.72926559,0.009906665
Unc5b,0.739435308,0.036663206
Apod,0.750199106,0.031605407
AU020206,0.760383091,0.008328397
Fbxo32,0.7619511,0.016831744
Aif1l,0.761987729,0.014287541
Gm13071,0.773459121,0.000608898
Cdk2,0.77957853,0.001047494
C4b,0.780484459,0.02014546
Cox6b2,0.789280848,0.03861778
Tnfaip6,0.796794362,0.044620509
Mcam,0.804374918,0.020774095
Myo1d,0.805373089,0.017690106
Litaf,0.810851606,0.017589609
Gjc3,0.810940264,0.033661935
Hmgb2,0.813126622,0.022481205
Tmem98,0.81910207,0.019724365
Tspan2,0.819486145,0.024904935
Ttyh2,0.831129338,0.034411114
Gbp9,0.835349888,0.000290303
Ppap2c,0.841797551,0.021955724
Trf,0.850752121,0.046248948
Prr18,0.853359662,0.045797394
Gm16044,0.858083354,0.007060021
Slc12a7,0.861500822,6.96E-05
AW112010,0.867717514,0.012122131
Plekhg3,0.869027484,0.027353051
Mbp,0.872863647,0.04794453
Ch25h,0.877961436,0.022293856
Lpar1,0.896978538,0.02736888
Mal,0.910232589,0.033100686
Plp1,0.919079722,0.043445423
Vwf,0.925487474,0.003889892
Pde8a,0.933631894,0.008673734
Bcas1,0.936088504,0.043309057
Prr5l,0.940758107,0.030576804
Irgm2,0.94987084,0.003383154
Nipal4,0.95036793,0.048673975
Evi2a,0.95517256,0.035142303
Itgb4,0.960761403,0.044009331
Dock5,0.982339424,0.029410417
Tmem88b,0.99254127,0.030530338
Rrm2,1.001184175,0.017068152
Mobp,1.003283501,0.027967668
Trim59,1.006049936,0.011418644
Galnt6,1.010403545,0.030501189
Gm25005,1.025664979,0.020112469
St18,1.030838203,0.034512495
Serpinb1a,1.054574983,0.044921408
Gm26747,1.057701462,0.033542773
Mir378b,1.071836277,0.006132787
H2-Q4,1.071950085,0.001927336
Opalin,1.116491559,0.023323372
Cdca7,1.122157257,0.037848065
Gm3625,1.143016955,0.027163564
Ighj4,1.256856343,0.004794907
Gbp3,1.285675319,0.000435913
Gbp2,1.448693933,0.000661625
Thbs4,1.714720375,0.029930046
