"","x"
"1194","coral2"
"1195","mediumpurple4"
"1196","yellow4"
"1197","navajowhite1"
"1198","firebrick3"
"1199","salmon4"
"1200","darkolivegreen"
"1201","green"
"1202","violet"
"1203","blue"
"1204","cyan"
"1205","lightslateblue"
"1206","lightsteelblue"
"1207","pink"
"1208","royalblue"
"1209","honeydew"
"1210","violet"
"1211","saddlebrown"
"1212","darkolivegreen4"
"1213","turquoise"
"1214","tan"
"1215","turquoise"
"1216","lightcyan1"
"1217","mediumorchid"
"1218","yellowgreen"
"1219","bisque4"
"1220","pink"
"1221","mediumpurple2"
"1222","saddlebrown"
"1223","orangered4"
"1224","blueviolet"
"1225","darkolivegreen4"
"1226","coral1"
"1227","yellow"
"1228","brown"
"1229","tan"
"1230","royalblue"
"1231","pink"
"1232","bisque4"
"1233","navajowhite2"
"1234","lightcoral"
"1235","slateblue"
"1236","magenta3"
"1237","mediumpurple3"
"1238","purple"
"1239","lavenderblush3"
"1240","grey60"
"1241","grey60"
"1242","coral2"
"1243","salmon"
"1244","orange"
"1245","purple"
"1246","orangered4"
"1247","mediumpurple3"
"1248","royalblue"
"1249","darkseagreen2"
"1250","violet"
"1251","salmon"
"1252","darkturquoise"
"1253","darkmagenta"
"1254","darkorange2"
"1255","indianred2"
"1256","darkorange"
"1257","greenyellow"
"1258","white"
"1259","darkolivegreen4"
"1260","navajowhite2"
"1261","cyan"
"1262","darkred"
"1263","red"
"1264","lightcoral"
"1265","midnightblue"
"1266","paleturquoise"
"1267","yellowgreen"
"1268","salmon"
"1269","darkolivegreen"
"1270","lightcyan"
"1271","antiquewhite2"
"1272","skyblue"
"1273","brown"
"1274","skyblue1"
"1275","darkgreen"
"1276","lightblue4"
"1277","palevioletred2"
"1278","royalblue"
"1279","plum"
"1280","darkturquoise"
"1281","antiquewhite2"
"1282","green"
"1283","bisque4"
"1284","lightslateblue"
"1285","greenyellow"
"1286","red"
"1287","honeydew1"
"1288","palevioletred2"
"1289","darkseagreen4"
"1290","green"
"1291","lightcyan"
"1292","lightcoral"
"1293","salmon"
"1294","lightsteelblue"
"1295","royalblue"
"1296","pink3"
"1297","navajowhite2"
"1298","lightslateblue"
"1299","green"
"1300","chocolate4"
"1301","lightcyan"
"1302","mediumorchid"
"1303","lightgreen"
"1304","plum1"
"1305","darkorange"
"1306","magenta"
"1307","blue"
"1308","plum2"
"1309","magenta4"
"1310","red"
"1311","coral3"
"1312","paleturquoise"
"1313","lightyellow"
"1314","purple"
"1315","skyblue1"
"1316","orangered4"
"1317","lightyellow"
"1318","magenta4"
"1319","honeydew1"
"1320","tan"
"1321","pink"
"1322","blue"
"1323","skyblue1"
"1324","magenta"
"1325","coral2"
"1326","tan"
"1327","honeydew"
"1328","sienna3"
"1329","red"
"1330","purple"
"1331","darkturquoise"
"1332","darkolivegreen4"
"1333","darkslateblue"
"1334","mediumorchid"
"1335","palevioletred2"
"1336","coral2"
"1337","green"
"1338","saddlebrown"
"1339","plum2"
"1340","honeydew1"
"1341","indianred3"
"1342","darkgrey"
"1343","green"
"1344","magenta"
"1345","lightpink4"
"1346","yellow3"
"1347","lightblue4"
"1348","lightsteelblue1"
"1349","mediumpurple3"
"1350","greenyellow"
"1351","darkolivegreen"
"1352","pink"
"1353","darkslateblue"
"1354","lightyellow"
"1355","mediumpurple3"
"1356","lightpink3"
"1357","sienna3"
"1358","tan"
"1359","salmon"
"1360","black"
"1361","palevioletred2"
"1362","darkgreen"
"1363","darkorange2"
"1364","mediumpurple1"
"1365","darkred"
"1366","white"
"1367","brown"
"1368","tan"
"1369","darkturquoise"
"1370","firebrick3"
"1371","thistle3"
