"","x"
"1270","lightcoral"
"1271","firebrick4"
"1272","tan"
"1273","greenyellow"
"1274","darkgrey"
"1275","darkslateblue"
"1276","yellow"
"1277","darkseagreen3"
"1278","antiquewhite1"
"1279","brown"
"1280","magenta"
"1281","yellow"
"1282","navajowhite2"
"1283","tan"
"1284","pink"
"1285","darkorange"
"1286","black"
"1287","tan"
"1288","darkred"
"1289","black"
"1290","coral2"
"1291","navajowhite1"
"1292","brown"
"1293","turquoise"
"1294","yellow"
"1295","turquoise"
"1296","tan"
"1297","darkolivegreen"
"1298","darkslateblue"
"1299","darkorange2"
"1300","brown4"
"1301","green"
"1302","purple"
"1303","paleturquoise"
"1304","pink4"
"1305","purple"
"1306","darkseagreen4"
"1307","yellow"
"1308","pink4"
"1309","palevioletred2"
"1310","turquoise"
"1311","darkseagreen3"
"1312","blue"
"1313","sienna3"
"1314","black"
"1315","blue"
"1316","blue"
"1317","blue"
"1318","pink"
"1319","maroon"
"1320","pink"
"1321","honeydew"
"1322","salmon"
"1323","lightgreen"
"1324","orangered1"
"1325","deeppink"
"1326","sienna3"
"1327","plum1"
"1328","lightsteelblue"
"1329","purple"
"1330","pink"
"1331","firebrick3"
"1332","magenta"
"1333","skyblue3"
"1334","mediumorchid"
"1335","sienna4"
"1336","cyan"
"1337","paleturquoise"
"1338","turquoise"
"1339","skyblue2"
"1340","mediumpurple1"
"1341","bisque4"
"1342","skyblue3"
"1343","saddlebrown"
"1344","thistle2"
"1345","black"
"1346","turquoise"
"1347","darkorange2"
"1348","brown"
"1349","darkgrey"
"1350","grey60"
"1351","lavenderblush3"
"1352","indianred3"
"1353","skyblue4"
"1354","plum1"
"1355","skyblue2"
"1356","honeydew"
"1357","turquoise"
"1358","skyblue3"
"1359","honeydew1"
"1360","cyan"
"1361","lightcyan"
"1362","darkred"
"1363","coral1"
"1364","honeydew1"
"1365","green"
"1366","lightgreen"
"1367","navajowhite2"
"1368","coral2"
"1369","sienna3"
"1370","purple"
"1371","yellow4"
"1372","green"
"1373","yellowgreen"
"1374","darkred"
"1375","lightcyan"
"1376","saddlebrown"
"1377","brown"
"1378","black"
"1379","turquoise"
"1380","darkmagenta"
"1381","darkorange"
"1382","orangered3"
"1383","purple"
"1384","yellow4"
"1385","darkred"
"1386","mediumpurple3"
"1387","royalblue"
"1388","skyblue2"
"1389","plum1"
"1390","plum2"
"1391","purple"
"1392","brown4"
"1393","salmon1"
"1394","purple"
"1395","mediumpurple2"
"1396","mediumpurple1"
"1397","steelblue"
"1398","yellow"
"1399","yellow3"
"1400","tan"
"1401","black"
"1402","lightyellow"
"1403","turquoise"
